INDIKATOR_ID;INDIKATOR_NAME;INDICATOR_NAME_EN;EINHEIT_LANG (UNIT);QUELLE;BESCHREIBUNG;DESCRIPTION_EN
1606;15 Militär (Bruttoertrag);15 military (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Einquartierungen in Truppenunterkunft, Militär, Ortsquartiermeister, Schiessanlagen und Schützenvereine. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from billeting in troop accommodation, military, local quartermasters, shooting ranges and rifle clubs. The permanent resident population is used to calculate the per capita values.
1607;16 Zivilschutz (Bruttoertrag);16 civil defense (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Bereitstellungsanlage, Bevölkerungsschutz, Gesamtverteidigung, geschützte Operationsstellen (GOPS), geschützte Pflegeräume, Katastrophenhilfeorganisation, Kommandoposten, Kontrollstelle für Schutzraumbauten, kriegswirtschaftliche Vorsorge, Kulturgüterschutz, öffentliche Schutzräume, Pflichtlagerhaltung, Rationierung, Sanitätshilfsstelle, Sanitätsposten, wirtschaftliche Landesversorgung, zivilen Gemeindeführungsstab und Zivilschutzorganisation. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from the provision system, civil protection, general defense, protected operation points (GOPS), protected care rooms, disaster relief organization, command post, control point for shelter structures, war economic precautions, cultural property protection, public protection rooms, compulsory storage, rationing, medical aid station, medical post and national economic protection organization, civil protection. The permanent resident population is used to calculate the per capita values.
1608;19 Sicherheitsverbund (Bruttoertrag);19 Security network (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus die regionalen Sicherheitsverbunde. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from the regional security associations. The permanent resident population is used to calculate the per capita values.
1609;21 Volksschule Total (Bruttoertrag);21 Total primary school (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag, umfassend Handarbeit, Hauswirtschaftsunterricht, Kindergarten, Kochschule, Musikschule, Primarschule, Realschule, Schulanlagen, Schulanlässe, Schülertransporte, Schulleitung, Schulliegenschaften, Schulverwaltung, Sekundarschule, Sonderschule, Spielgruppen, Steuerbedarf der Schulgemeinden, Volksschule und Werken. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income, including manual labor, home economics, kindergarten, cooking school, music school, primary school, secondary school, school facilities, school events, school transport, school management, school properties, school administration, secondary school, special school, playgroups, tax requirements of the school communities, elementary school and factories. The permanent resident population is used to calculate the per capita values.
1610;210 Finanzbedarf autonom. Schulgem.(Bruttoertrag);210 Autonomous financial needs. School community (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag autonomer Schulgemeinden für den gesamten Schulbetrieb, umfassend Handarbeit, Hauswirtschaftsunterricht, Kindergarten, Kochschule, Musikschule, Primarschule, Realschule, Schulanlagen, Schulanlässe, Schülertransporte, Schulleitung, Schulliegenschaften, Schulverwaltung, Sekundarschule, Sonderschule, Spielgruppen, Volksschule und Werken. Dieser Indikator trifft nur auf politische Gemeinden zu, bei denen die Volksschule mindestens teilweise durch autonome Schulgemeinden geführt wird.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income of autonomous school communities for the entire school operation, including manual labor, home economics, kindergarten, cooking school, music school, primary school, secondary school, school facilities, school events, school transport, school management, school properties, school administration, secondary school, special school, playgroups, elementary school and factories. This indicator only applies to political communities in which the primary school is at least partially run by autonomous school communities. The permanent resident population is used to calculate the per capita values.
1611;211 Kindergarten (Bruttoertrag);211 kindergarten (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag der in die Einheitsgemeinde integrierten Schulen für den Kindergartenbetrieb.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income of the schools integrated into the unitary community for the day-care center. This indicator only contains values ??for pure unitary communities or unitary communities with participation in autonomous school communities. No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies. The permanent resident population is used to calculate the per capita values.
1612;212 Primarstufe (Bruttoertrag);212 primary level (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag der in die Einheitsgemeinde integrierten Schulen für den Primarschulbetrieb.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income of the schools integrated into the unitary community for the primary school operation. This indicator only contains values ??for pure unitary communities or unitary communities with participation in autonomous school communities. No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies. The permanent resident population is used to calculate the per capita values.
1613;213 Oberstufe (Bruttoertrag);213 upper level (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag der in die Einheitsgemeinde integrierten Schulen für den Oberstufenschulbetrieb.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income of the schools integrated into the unitary community for upper school operation.This indicator only contains values ??for pure unitary communities or unitary communities with participation in autonomous school communities. No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies. The permanent resident population is used to calculate the per capita values.
1614;214 Musikschule (Bruttoertrag);214 music school (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag der in die Einheitsgemeinde integrierten Schulen für den Betrieb der Musikschule.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income of the schools integrated into the unitary community for the operation of the music school.This indicator only contains values ??for pure unitary communities or unitary communities with participation in autonomous school communities. No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies. The permanent resident population is used to calculate the per capita values.
1615;215 Fördernde Massnahmen (Bruttoertrag);215 promotional measures (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag der in die Einheitsgemeinde integrierten Schulen für Einführungsklassen, heilpädagogische Früherziehung, Kleinklassen, Logopädie, Legasthenie- und Diskalkulietherapie, Psychomotorik und Rhythmik, Nachhilfe- und Deutschunterricht für Schüler mit Migrationshintergrund.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income of the schools integrated into the unitary community for introductory classes, early childhood curative education, small classes, speech therapy, dyslexia and discalculation therapy, psychomotor skills and rhythm, tutoring and German lessons for students with a migration background.This indicator only includes pure unitary communities or unitary communities with participation in autonomous school communities . No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies. The permanent resident population is used to calculate the per capita values.
1616;216 Schulanlässe, Freizeitgest. (Bruttoertrag);216 school events, leisure activities (Gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag der in die Einheitsgemeinde integrierten Schulen für Schulanlässe und übrige schulische Freizeitgestaltung.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income of the schools integrated into the unitary community for school events and other school leisure activities.This indicator only contains values ??for pure unitary communities or unitary communities with participation in autonomous school communities. No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies. The permanent resident population is used to calculate the per capita values.
1617;217 Schulanlagen (Bruttoertrag);217 school facilities (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag der in die Einheitsgemeinde integrierten Schulen für den Betrieb und Unterhalt von Schulanlagen.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from schools integrated into the unitary community for the operation and maintenance of school facilities.This indicator only contains values ??for pure unitary communities or unitary communities with participation in autonomous school communities. No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies. The permanent resident population is used to calculate the per capita values.
1618;218 Schulverwaltung (Bruttoertrag);218 school administration (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag der in die Einheitsgemeinde integrierten Schulen für die Schulverwaltung.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income of schools integrated in the unitary municipality for school administration. This indicator only contains values ??for pure unitary municipalities or unitary municipalities with participation in autonomous school communities. No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies. The permanent resident population is used to calculate the per capita values.
1619;219 Übrige Schulbetriebskosten (Bruttoertrag);219 Other school operating costs (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag der in die Einheitsgemeinde integrierten Schulen für Informatik, schulpsychologischen Dienst, Schulreifeabklärungen, Eltern- und Erwachsenenbildung, Schülertransport, Mittagstisch und Frühförderung.Dieser Indikator enthält nur für reine Einheitsgemeinden oder Einheitsgemeinden mit Beteiligung an autonomen Schulgemeinden Werte. Für politische Gemeinden, welche die Volksschule vollständig an autonome Schulgemeinden bzw. -träger delegiert haben, liegen keine Angaben vor.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income of the schools for computer science, school psychology service, school readiness assessments, parent and adult education, school transport, lunch and early support integrated into the unitary community.This indicator only contains values ??for pure unitary congregations or unitary congregations with participation in autonomous school communities. No information is available for political communities that have completely delegated primary schools to autonomous school communities or school bodies. The permanent resident population is used to calculate the per capita values.
1620;22 Sonderschulen (Bruttoertrag);22 special schools (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus heilpädagogische Schulen und private Sonderschulen. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from special education schools and private special schools. The permanent resident population is used to calculate the per capita values.
1621;25 Allgemeinbildende Schulen (Bruttoertrag);25 general education schools (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus allgemeinbildende Schulen, allgemeines Berufsvorbereitungsjahr, berufliche Vorkurse, Integrationskurs, Musikunterricht für Schulentlassene, Vorkurs für Gestaltung, Vorlehre und Vorlehre fremdsprachiger Jugendlicher. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from general schools, general vocational preparation year, preliminary professional courses, integration course, music lessons for school leavers, preliminary course for design, pre-apprenticeship and pre-apprenticeship for foreign-language young people. The permanent resident population is used to calculate the per capita values.
1622;26 Höhere Berufsbildung (Bruttoertrag);26 Higher vocational training (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus höhere Berufsbildung, Ingenieurschulen, technische Fachschulen und Wirtschaftsschulen. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from higher vocational training, engineering schools, technical colleges and business schools. The permanent resident population is used to calculate the per capita values.
1623;27 Hochschulen, Forschung (Bruttoertrag);27 universities, research (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Forschung, Hochschulen und Universitäten. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from research, colleges and universities. The permanent resident population is used to calculate the per capita values.
1624;29 Übrige Bildungsstätten (Bruttoertrag);29 Other educational institutions (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Elternschulen, Erwachsenenbildung, Volkshochschule und die Zentralstelle für berufliche Weiterbildung. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from parent schools, adult education, adult education centers and the central office for professional development. The permanent resident population is used to calculate the per capita values.
1625;30 Kulturförderung (Bruttoertrag);30 cultural funding (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Ausstellungen, Bibliothek, Bilder, Bühne, Chöre, Chroniken, Dorfvereine, Fasnachtsgesellschaft, Galerie, Gemeindebibliothek, Gemeindegeschichte, Gemeindemuseum, Gemeindesaal, Gesangsverein, Historischer Verein, Konzerte, Kulturförderung, Kunst, Mehrzweckhalle, Museum, Musikverein, Orchesterverein, Tambourenverein, Theater und Trachtenverein. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from exhibitions, library, pictures, stage, choirs, chronicles, village associations, carnival society, gallery, community library, community history, community museum, community hall, choral society, historical association, concerts, cultural promotion, art, multi-purpose hall, museum, music association, orchestral association, drum club, theater and traditional costume association. The permanent resident population is used to calculate the per capita values.
1626;31 Denkmalpflege, Heimatschutz (Bruttoertrag);31 Preservation of historical monuments, heritage protection (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Altstadtpflege, Denkmalpflege, Erhaltung historischer Kulturgüter, Heimatschutz, Ortsbildinventar und Ortsbildpflege. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from old town maintenance, monument preservation, preservation of historical cultural assets, heritage protection, site inventory and site maintenance. The permanent resident population is used to calculate the per capita values.
1627;32 Medien (Bruttoertrag);32 media (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Fernsehen, Gemeinschaftsantenne, Presse und Radio. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from television, community antenna, press and radio. The permanent resident population is used to calculate the per capita values.
1628;33 Parkanlagen, Wanderwege (Bruttoertrag);33 parks, hiking trails (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Brunnen, Gartenbauamt, Grünzonen, Parkanlagen, Ruhebänke, Seeufer, Spielplätze, Stadtgärtnerei, Wanderwege und Wasserspiele Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from wells, horticultural office, green areas, parks, benches, lakeside, playgrounds, urban gardening, hiking trails and water features The permanent resident population is used to calculate the per capita values.
1629;34 Sport (Bruttoertrag);34 Sports (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Finnenbahn, Fussballplatz, Hallenbad, Kunsteisbahn, Schwimmbad, Skilift, Sport, Sportplätze, Sportveranstaltungen, Sportvereine, Turnhalle und Vita-Parcours. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from Finnish rink, soccer field, indoor swimming pool, artificial ice rink, swimming pool, ski lift, sports, sports fields, sporting events, sports clubs, gymnasium and Vita parcours. The permanent resident population is used to calculate the per capita values.
1630;37 Übrige Freizeitgestaltung (Bruttoertrag);37 Other leisure activities (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Camping, Familiengärten, Freizeitgestaltung, Freizeithaus, Freizeitwerkstätte, Jugendherberge, Jugendparlament, Jugendtreff, Jugendvereine, Jugendzentrum, Kino, Schrebergärten und Tierpark. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from camping, family gardens, leisure activities, leisure center, leisure workshop, youth hostel, youth parliament, youth club, youth clubs, youth center, cinema, allotment gardens and zoo. The permanent resident population is used to calculate the per capita values.
1631;41 Spitäler, Kranken- und Pflegeh. (Bruttoertr.);41 Hospitals, sick and nursing care. (Gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag für stationäre Pflegefinanzierung sowie stationäre Akut- und Übergangspflege. Das Konto 41 wird  ab 1.1.2011 für die Beiträge der Gemeinden an der stationäre Pflege gemäss dem Gesetz über die Pflegefinanzierung (sGS 331.2)  verwendet. Zuvor waren die Gemeinden nicht zur Pflegefinanzierung verpflichtet. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income for inpatient care financing as well as inpatient acute and transitional care. Account 41 will be used from 1.1.2011 for the municipalities' contributions to inpatient care in accordance with the Law on Care Financing (sGS 331.2). Previously, the municipalities were not obliged to finance care. The permanent resident population is used to calculate the per capita values.
1632;42 Ambulante Pflegefinanzierung (Bruttoertrag);42 Outpatient care financing (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag für ambulante Pflege (Spitex / Pflegefachpersonen) sowie ambulante Akut- und Übergangspflege. Das Konto 42 wird  ab 1.1.2011 für die Beiträge der Gemeinden an der ambulanten Pflege gemäss dem Gesetz über die Pflegefinanzierung (sGS 331.2)  verwendet. Zuvor waren die Gemeinden nicht zur Pflegefinanzierung verpflichtet. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income for outpatient care (Spitex / nursing staff) as well as outpatient acute and transitional care. Account 42 will be used from 1.1.2011 for the municipalities' contributions to outpatient care in accordance with the Law on Care Financing (sGS 331.2). Previously, the municipalities were not obliged to finance care. The permanent resident population is used to calculate the per capita values.
1633;45 Ambul. Krankenpfl., Geburtshilfe (Bruttoertr.);45 ambul. Nurse, obstetrics (gross wages);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Geburtshilfe, Familienhilfe, Geburtshilfe, Gemeindekrankenpflege, Haushilfe, Hauspflege, Hebamme, Krankenpflegeverein, Mütter- und Väterberatung, Palliativnetz Ostschweiz (Sterbehilfe), Samariterverein und Spitex. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from obstetrics, family help, obstetrics, community nursing, home help, home care, midwife, nursing association, mother and father counseling, palliative network Eastern Switzerland (euthanasia), Samaritan association and Spitex. The permanent resident population is used to calculate the per capita values.
1634;47 Schulgesundheitsdienst (Bruttoertrag);47 School Health Service (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Lauskontrolle, Schirmbildaktionen, Schularzt und Schulzahnpflege. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from lice control, screen campaigns, school doctor and school dental care. The permanent resident population is used to calculate the per capita values.
1635;48 Lebensmittelkontrolle (Bruttoertrag);48 food control (gross yield);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Lebensmittel- und Pilzkontrolle. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from food and mushroom control. The permanent resident population is used to calculate the per capita values.
1636;49 Übriges Gesundheitswesen (Bruttoertrag);49 Other healthcare (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Bergrettung, Defibrillator, Desinfektionen, Gesundheitsberatung und Vorsorge, Heilstätten für Alkoholkranke, Krankheitsbekämpfung, Lebensrettungsgesellschaft, Rega, Schutzimpfungen und Seerettungsdienst.  Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from mountain rescue, defibrillator, disinfection, health advice and prevention, sanatoriums for alcoholics, disease control, lifesaving company, Rega, vaccinations and sea rescue service. The permanent resident population is used to calculate the per capita values.
1637;50 Sozialversicherungen (Bruttoertrag);50 social insurances (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus AHV-Beiträge Nichterwerbstätiger, Ergänzungsleistungen zur AHV und IV, Krankenpflege-Grundversicherung, Krankenversicherungsprämien und Kostenbeiträge und Sozialversicherungen. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from AHV contributions by non-employed persons, supplementary benefits to AHV and IV, basic health insurance, health insurance premiums and cost contributions and social insurance. The permanent resident population is used to calculate the per capita values.
1638;53 Allgemeine Sozialhilfe (Bruttoertrag);53 General social assistance (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Altersausflug, Altersbetreuung, Altersturnen, Amtsvormundschaft, Arbeitsgemeinschaft für Ausländerfragen, Asylsuchende, Beratungsstelle für Alkoholprobleme, Beratungsstelle für Suchtprobleme, Blaues Kreuz, Drogenberatung, Eheberatung, Familienplanung, Flüchtlingshilfe, Frauenhaus, kontrollierte Drogenabgabe, Pro Senectute, Schuldenberatung, Sozialfürsorge, Suchtprävention, Verbilligungsaktionen, Vergünstigungen und Vormundschaft. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from old age excursion, old age care, old age gymnastics, official guardianship, working group for foreigner issues, asylum seekers, advice center for alcohol problems, advice center for addiction problems, Blue Cross, drug advice, marriage advice, family planning, refugee aid, women's refuge, controlled drug delivery, Pro Senectute, debt advice, social welfare, addiction prevention , Perks and guardianship. The permanent resident population is used to calculate the per capita values.
1639;54 Kinder und Jugendliche (Bruttoertrag);54 children and young people (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Inkassohilfe, Jugendschutz, Jugendarbeit / Jugendberatung, Kinder- und Jugendheime , Kinderhort, Kinderschutzzentrum, Pro Juventute, Schulsozialarbeit und Tagesmütter. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from debt collection assistance, youth protection, youth work / youth counseling, children's and youth homes, crèche, child protection center, Pro Juventute, school social work and child minders. The permanent resident population is used to calculate the per capita values.
1640;55 Invalidität (Bruttoertrag);55 disability (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Behindertensport, Beschäftigungstherapie Behinderter, Entlastungsdienst für Familien mit Behinderten, geschützte Werkstätten, Invalidität, Pro Infirmis und Wohnheime für Behinderte. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from disabled sports, occupational therapy for disabled people, relief service for families with disabled people, sheltered workshops, disability, Pro Infirmis and dormitories for disabled people. The permanent resident population is used to calculate the per capita values.
1641;56 Sozialer Wohnungsbau (Bruttoertrag);56 Social housing (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Alterswohnungen, Förderung des sozialen Wohnungsbaus, Mietzinszuschüsse gemäss WEG und Verbesserung der Wohnverhältnisse im Berggebiet. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from retirement homes, promotion of social housing, rent subsidies according to WEG and improvement of living conditions in the mountain area. The permanent resident population is used to calculate the per capita values.
1642;57 Altersheim, Pflegeheim (Bruttoertrag);57 Retirement home, nursing home (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Altersheime, Betagtenheime und Pflegeheime. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from old people's homes, old people's homes and nursing homes. The permanent resident population is used to calculate the per capita values.
1643;58 Finanzielle Sozialhilfe (Bruttoertrag);58 Financial social assistance (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus finanzielle Sozialhilfe, Überbrückungsdarlehen an Private, Vorschüsse ALV-Entschädigungen und IV-Renten und nicht anrechenbare Ersatzleistungen im Krankenkassenwesen (Kostenbeteiligungen sowie Mahn- und Betreibungskosten). Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from financial social assistance, bridging loans to private individuals, advances ALV compensation and IV pensions and non-creditable replacement benefits in the health insurance system (cost sharing as well as dunning and collection costs). The permanent resident population is used to calculate the per capita values.
1644;59 Humanitäre Hilfen, Patenschaften (Bruttoertr.);59 Humanitarian aid, sponsorships (gross income);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Bruttoertrag aus Auslandhilfe, Berggemeinden, Entwicklungshilfe, humanitäre Hilfen, Katastrophenhilfe, nichtversicherbare Elementarschäden und Patenschaften. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Gross income from foreign aid, mountain communities, development aid, humanitarian aid, disaster aid, non-insurable damage caused by natural forces and sponsorships. The permanent resident population is used to calculate the per capita values.
